кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,2254,20.388964269561285,98.4472049689441,45.30420579828501
1,1305,11.80461329715061,10.191570881226054,2.7153940383830135
2,3169,28.66576209859792,42.41085515935627,27.439771335238873
3,954,8.629579375848033,42.34800838574424,8.248264597795018
4,197,1.7819990954319314,94.41624365482234,3.7974683544303796
5,405,3.6635006784260518,40.0,3.3074724377296856
6,1037,9.380370872908186,23.336547733847638,4.940792160065333
7,426,3.8534599728629577,29.812206572769952,2.59289505920784
8,1308,11.831750339213025,6.192660550458716,1.6537362188648428
ИТОГО,11055,100.0,,100.0
