cluster,count,percent_of_total,phishing_percent_in_cluster,phishing_share_of_all_phishing
0,12,0.10854816824966079,0.0,0.0
1,5,0.045228403437358664,0.0,0.0
2,5,0.045228403437358664,0.0,0.0
3,5,0.045228403437358664,100.0,0.10208248264597795
4,5,0.045228403437358664,0.0,0.0
5,5,0.045228403437358664,100.0,0.10208248264597795
6,9,0.0814111261872456,0.0,0.0
7,8,0.07236544549977386,100.0,0.16333197223356472
8,6,0.054274084124830396,0.0,0.0
9,7,0.06331976481230213,100.0,0.14291547570436913
10,6,0.054274084124830396,100.0,0.12249897917517354
11,9,0.0814111261872456,44.44444444444444,0.08166598611678236
12,9,0.0814111261872456,55.55555555555556,0.10208248264597795
13,5,0.045228403437358664,100.0,0.10208248264597795
14,16,0.14473089099954772,0.0,0.0
15,6,0.054274084124830396,0.0,0.0
16,5,0.045228403437358664,100.0,0.10208248264597795
17,7,0.06331976481230213,100.0,0.14291547570436913
18,5,0.045228403437358664,0.0,0.0
19,5,0.045228403437358664,0.0,0.0
20,22,0.19900497512437812,0.0,0.0
21,5,0.045228403437358664,0.0,0.0
22,9,0.0814111261872456,0.0,0.0
23,9,0.0814111261872456,55.55555555555556,0.10208248264597795
24,7,0.06331976481230213,57.142857142857146,0.08166598611678236
25,9,0.0814111261872456,0.0,0.0
26,10,0.09045680687471733,0.0,0.0
27,5,0.045228403437358664,0.0,0.0
28,5,0.045228403437358664,100.0,0.10208248264597795
29,5,0.045228403437358664,0.0,0.0
30,5,0.045228403437358664,0.0,0.0
31,8,0.07236544549977386,25.0,0.04083299305839118
32,10,0.09045680687471733,0.0,0.0
33,6,0.054274084124830396,0.0,0.0
34,7,0.06331976481230213,0.0,0.0
35,5,0.045228403437358664,0.0,0.0
36,6,0.054274084124830396,0.0,0.0
37,7,0.06331976481230213,71.42857142857143,0.10208248264597795
38,9,0.0814111261872456,100.0,0.1837484687627603
39,10,0.09045680687471733,100.0,0.2041649652919559
40,13,0.11759384893713253,0.0,0.0
41,8,0.07236544549977386,50.0,0.08166598611678236
42,7,0.06331976481230213,0.0,0.0
43,5,0.045228403437358664,100.0,0.10208248264597795
44,9,0.0814111261872456,0.0,0.0
45,6,0.054274084124830396,0.0,0.0
46,10,0.09045680687471733,40.0,0.08166598611678236
47,6,0.054274084124830396,0.0,0.0
48,15,0.13568521031207598,0.0,0.0
49,8,0.07236544549977386,100.0,0.16333197223356472
50,6,0.054274084124830396,100.0,0.12249897917517354
51,7,0.06331976481230213,100.0,0.14291547570436913
52,5,0.045228403437358664,100.0,0.10208248264597795
53,9,0.0814111261872456,0.0,0.0
54,5,0.045228403437358664,0.0,0.0
55,8,0.07236544549977386,0.0,0.0
56,7,0.06331976481230213,0.0,0.0
57,11,0.09950248756218906,0.0,0.0
58,7,0.06331976481230213,0.0,0.0
59,5,0.045228403437358664,100.0,0.10208248264597795
60,9,0.0814111261872456,0.0,0.0
61,7,0.06331976481230213,0.0,0.0
62,5,0.045228403437358664,0.0,0.0
63,5,0.045228403437358664,0.0,0.0
64,5,0.045228403437358664,0.0,0.0
65,8,0.07236544549977386,0.0,0.0
66,6,0.054274084124830396,33.333333333333336,0.04083299305839118
67,5,0.045228403437358664,0.0,0.0
68,7,0.06331976481230213,14.285714285714286,0.02041649652919559
69,24,0.21709633649932158,0.0,0.0
70,5,0.045228403437358664,0.0,0.0
71,9,0.0814111261872456,100.0,0.1837484687627603
72,11,0.09950248756218906,0.0,0.0
73,9,0.0814111261872456,0.0,0.0
74,6,0.054274084124830396,16.666666666666668,0.02041649652919559
75,12,0.10854816824966079,33.333333333333336,0.08166598611678236
76,25,0.2261420171867933,0.0,0.0
77,6,0.054274084124830396,100.0,0.12249897917517354
78,5,0.045228403437358664,100.0,0.10208248264597795
79,5,0.045228403437358664,100.0,0.10208248264597795
80,5,0.045228403437358664,100.0,0.10208248264597795
81,8,0.07236544549977386,50.0,0.08166598611678236
82,5,0.045228403437358664,100.0,0.10208248264597795
83,5,0.045228403437358664,0.0,0.0
84,24,0.21709633649932158,0.0,0.0
85,6,0.054274084124830396,50.0,0.06124948958758677
86,8,0.07236544549977386,0.0,0.0
87,8,0.07236544549977386,100.0,0.16333197223356472
88,11,0.09950248756218906,0.0,0.0
89,5,0.045228403437358664,0.0,0.0
90,16,0.14473089099954772,100.0,0.32666394446712943
91,8,0.07236544549977386,0.0,0.0
92,5,0.045228403437358664,0.0,0.0
93,6,0.054274084124830396,100.0,0.12249897917517354
94,10,0.09045680687471733,100.0,0.2041649652919559
95,6,0.054274084124830396,100.0,0.12249897917517354
96,5,0.045228403437358664,0.0,0.0
97,5,0.045228403437358664,0.0,0.0
98,6,0.054274084124830396,100.0,0.12249897917517354
99,6,0.054274084124830396,0.0,0.0
100,13,0.11759384893713253,100.0,0.2654144548795427
101,6,0.054274084124830396,0.0,0.0
102,6,0.054274084124830396,66.66666666666667,0.08166598611678236
103,6,0.054274084124830396,100.0,0.12249897917517354
104,8,0.07236544549977386,100.0,0.16333197223356472
105,5,0.045228403437358664,0.0,0.0
106,11,0.09950248756218906,0.0,0.0
107,10,0.09045680687471733,100.0,0.2041649652919559
108,9,0.0814111261872456,0.0,0.0
109,10,0.09045680687471733,0.0,0.0
110,5,0.045228403437358664,0.0,0.0
111,5,0.045228403437358664,0.0,0.0
112,9,0.0814111261872456,0.0,0.0
113,5,0.045228403437358664,100.0,0.10208248264597795
114,5,0.045228403437358664,20.0,0.02041649652919559
115,10,0.09045680687471733,0.0,0.0
116,5,0.045228403437358664,0.0,0.0
117,9,0.0814111261872456,22.22222222222222,0.04083299305839118
118,9,0.0814111261872456,0.0,0.0
119,8,0.07236544549977386,0.0,0.0
120,6,0.054274084124830396,66.66666666666667,0.08166598611678236
121,6,0.054274084124830396,0.0,0.0
122,10,0.09045680687471733,100.0,0.2041649652919559
123,7,0.06331976481230213,0.0,0.0
124,10,0.09045680687471733,0.0,0.0
125,6,0.054274084124830396,100.0,0.12249897917517354
126,5,0.045228403437358664,0.0,0.0
127,9,0.0814111261872456,100.0,0.1837484687627603
128,5,0.045228403437358664,100.0,0.10208248264597795
129,5,0.045228403437358664,20.0,0.02041649652919559
130,8,0.07236544549977386,100.0,0.16333197223356472
131,5,0.045228403437358664,100.0,0.10208248264597795
132,8,0.07236544549977386,0.0,0.0
133,6,0.054274084124830396,0.0,0.0
134,5,0.045228403437358664,100.0,0.10208248264597795
135,5,0.045228403437358664,0.0,0.0
136,6,0.054274084124830396,0.0,0.0
137,8,0.07236544549977386,25.0,0.04083299305839118
138,8,0.07236544549977386,100.0,0.16333197223356472
139,8,0.07236544549977386,0.0,0.0
140,9,0.0814111261872456,0.0,0.0
141,6,0.054274084124830396,16.666666666666668,0.02041649652919559
142,9,0.0814111261872456,0.0,0.0
143,6,0.054274084124830396,0.0,0.0
144,5,0.045228403437358664,100.0,0.10208248264597795
145,6,0.054274084124830396,33.333333333333336,0.04083299305839118
146,13,0.11759384893713253,15.384615384615385,0.04083299305839118
147,8,0.07236544549977386,0.0,0.0
148,5,0.045228403437358664,0.0,0.0
149,6,0.054274084124830396,16.666666666666668,0.02041649652919559
150,8,0.07236544549977386,0.0,0.0
151,6,0.054274084124830396,100.0,0.12249897917517354
152,5,0.045228403437358664,100.0,0.10208248264597795
153,6,0.054274084124830396,0.0,0.0
154,5,0.045228403437358664,100.0,0.10208248264597795
155,6,0.054274084124830396,100.0,0.12249897917517354
156,10,0.09045680687471733,0.0,0.0
157,7,0.06331976481230213,100.0,0.14291547570436913
158,12,0.10854816824966079,0.0,0.0
159,5,0.045228403437358664,0.0,0.0
160,5,0.045228403437358664,0.0,0.0
161,5,0.045228403437358664,100.0,0.10208248264597795
162,7,0.06331976481230213,28.571428571428573,0.04083299305839118
163,6,0.054274084124830396,0.0,0.0
164,7,0.06331976481230213,0.0,0.0
165,7,0.06331976481230213,0.0,0.0
166,5,0.045228403437358664,0.0,0.0
167,5,0.045228403437358664,0.0,0.0
168,6,0.054274084124830396,0.0,0.0
169,5,0.045228403437358664,0.0,0.0
170,8,0.07236544549977386,0.0,0.0
171,8,0.07236544549977386,100.0,0.16333197223356472
172,5,0.045228403437358664,0.0,0.0
173,6,0.054274084124830396,0.0,0.0
174,6,0.054274084124830396,0.0,0.0
175,5,0.045228403437358664,0.0,0.0
176,7,0.06331976481230213,0.0,0.0
177,6,0.054274084124830396,0.0,0.0
178,5,0.045228403437358664,0.0,0.0
179,8,0.07236544549977386,0.0,0.0
180,6,0.054274084124830396,100.0,0.12249897917517354
181,5,0.045228403437358664,0.0,0.0
182,11,0.09950248756218906,27.272727272727273,0.06124948958758677
183,5,0.045228403437358664,0.0,0.0
184,12,0.10854816824966079,0.0,0.0
185,10,0.09045680687471733,100.0,0.2041649652919559
186,5,0.045228403437358664,0.0,0.0
187,5,0.045228403437358664,100.0,0.10208248264597795
188,5,0.045228403437358664,0.0,0.0
189,5,0.045228403437358664,100.0,0.10208248264597795
190,8,0.07236544549977386,100.0,0.16333197223356472
191,7,0.06331976481230213,14.285714285714286,0.02041649652919559
192,5,0.045228403437358664,0.0,0.0
193,7,0.06331976481230213,0.0,0.0
194,9,0.0814111261872456,0.0,0.0
195,6,0.054274084124830396,0.0,0.0
196,5,0.045228403437358664,100.0,0.10208248264597795
197,6,0.054274084124830396,0.0,0.0
198,5,0.045228403437358664,0.0,0.0
199,5,0.045228403437358664,0.0,0.0
200,5,0.045228403437358664,0.0,0.0
201,8,0.07236544549977386,0.0,0.0
202,5,0.045228403437358664,0.0,0.0
203,8,0.07236544549977386,0.0,0.0
204,5,0.045228403437358664,0.0,0.0
205,5,0.045228403437358664,0.0,0.0
206,6,0.054274084124830396,0.0,0.0
207,6,0.054274084124830396,0.0,0.0
208,5,0.045228403437358664,0.0,0.0
209,7,0.06331976481230213,100.0,0.14291547570436913
210,5,0.045228403437358664,0.0,0.0
211,6,0.054274084124830396,0.0,0.0
212,6,0.054274084124830396,100.0,0.12249897917517354
213,5,0.045228403437358664,20.0,0.02041649652919559
214,6,0.054274084124830396,0.0,0.0
215,5,0.045228403437358664,0.0,0.0
216,8,0.07236544549977386,100.0,0.16333197223356472
217,5,0.045228403437358664,100.0,0.10208248264597795
218,6,0.054274084124830396,100.0,0.12249897917517354
219,6,0.054274084124830396,100.0,0.12249897917517354
220,5,0.045228403437358664,100.0,0.10208248264597795
221,6,0.054274084124830396,66.66666666666667,0.08166598611678236
222,5,0.045228403437358664,0.0,0.0
223,7,0.06331976481230213,0.0,0.0
224,7,0.06331976481230213,0.0,0.0
225,7,0.06331976481230213,28.571428571428573,0.04083299305839118
226,5,0.045228403437358664,0.0,0.0
227,5,0.045228403437358664,0.0,0.0
228,5,0.045228403437358664,0.0,0.0
229,8,0.07236544549977386,0.0,0.0
230,6,0.054274084124830396,0.0,0.0
