feature,feature_ru,weight
SSLfinal_State,Статус_SSL,0.3052884921842716
URL_of_Anchor_phish,Фишинговый_домен_автора,0.17475390423057927
URL_of_Anchor_legit,Легитимный_домен_автора,0.0653207957483382
URL_of_Anchor_suspic,Подозрительный_домен_автора,0.04577389023992947
having_Sub_Domain_legit,Число_поддоменов,0.041852596018124084
web_traffic_high,Высокий_веб_трафик,0.03943317309127644
Prefix_Suffix,Дефис_в_домене,0.03780204612611708
Links_in_tags,Ссылки_в_тегах,0.033272094792258455
web_traffic_middle,Средний_веб_трафик,0.027139467947706747
Request_URL,Внешние_ресурсы,0.019146392152887635
age_of_domain,Возраст_домена,0.01754504126952474
Domain_registeration_length,Срок_регистрации,0.015747318932731652
having_Sub_Domain_suspic,Подозрительные_поддомены,0.014795187560390511
Links_pointing_to_page,Внешние_ссылки,0.014551210421676291
having_IP_Address,IP_вместо_домена,0.01297030248947773
