кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,513,4.640434192672998,95.51656920077973,10.004083299305838
1,1063,9.61555857078245,54.75070555032926,11.882400979991834
2,1440,13.025780189959294,2.8472222222222223,0.8370763576970192
3,1235,11.171415649027589,99.19028340080972,25.010208248264597
4,1040,9.407507914970601,24.807692307692307,5.267456104532462
5,738,6.675712347354138,9.620596205962059,1.4495712535728869
6,2199,19.891451831750338,27.603456116416552,12.392813393221724
7,468,4.233378561736771,46.36752136752137,4.430379746835443
8,1408,12.7363184079602,96.09375,27.623519804001635
9,951,8.602442333785618,5.678233438485805,1.1024908125765618
ИТОГО,11055,100.0,,100.0
