кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,1231,11.135232926277702,45.166531275385864,11.351572070232749
1,1104,9.986431478968793,24.72826086956522,5.573703552470396
2,605,5.472636815920398,97.68595041322314,12.066149448754594
3,1015,9.181365897783808,99.50738916256158,20.620661494487546
4,2258,20.42514699231117,2.9672276350752878,1.3679052674561045
5,1156,10.456806874717323,27.162629757785467,6.410779910167415
6,814,7.36318407960199,98.15724815724816,16.312780726827278
7,1107,10.013568521031207,99.4579945799458,22.478562678644344
8,1765,15.965626413387607,10.594900849858357,3.8178848509595755
ИТОГО,11055,100.0,,100.0
